動詞,,意味カテゴリ,主語,述語補足,ヲ格（対格）,タイプ,必須？,ニ格（与格）,タイプ,必須？,例文,例文補足,その他格助詞,メモ,シノニム,アントニム
すれ違う,すれちがう,,,自動詞,,,F,,,ー,対面通行の1車線の道路において、Lo/Hiビーム点灯の対向車とすれ違う際や、短時間のパッシングにおいて操舵支援可能率が十分高く、誤操舵支援率が十分低いこと。,,"ニ,ト,カラ",,,
判定する,はんていする,,"

",,"変則パターン [1]
変則パターン [2]
","

",T,"

",,F,"[1] 変則パターンを判定して不要作動が発生する以前のタイミングで強制ロスすることが望ましい。
[2] 車線が急激にオフセットするため、誤操舵支援しやすいため、こうした変則パターンを判定して不要作動が発生する以前のタイミングで強制ロスすることが望ましい。
[3] 瞬時のFOE推定位置が大きくずれる場合、ピッチングが発生したと判定して、履歴処理で過去値を利用する。","

","ニ,カラ [1]
ニ,カラ [2]
ニ,ト,カラ [3]",,,
享受する,きょうじゅする,,([　],,嬉しさ,,T,,,ー,具体的に実現する項目を下表に記載する([　]内は嬉しさを享受する部署)。,,"ニ,カラ",,,
早める,はやめる,,"
",,"（開始タイミング [1]
警報タイミング [2]","
",T,"
",,ー,"[1] [ID　:　LKA-15CY-NA-FR-FR1315]車線逸脱時に、衝突や横転（※6）する可能性が高い（または被害レベルが高い）と想定される場合、車線逸脱抑制の制御量を調整する（開始タイミングを早める、制御量を強める、警報タイミングを早める）（※7）。
[2] [ID　:　LKA-15CY-NA-FR-FR1315]車線逸脱時に、衝突や横転（※6）する可能性が高い（または被害レベルが高い）と想定される場合、車線逸脱抑制の制御量を調整する（開始タイミングを早める、制御量を強める、警報タイミングを早める）（※7）。","
","ニ,カラ [1]
ニ,カラ [2]",,,
定める,さだめる,,"条件 [1]
システム部署 [2]

基準 [4]",,"
管理ルール [2]
目標ライン [3]
","


",T,"契約書 [1]


",,ー,"[1] ユーザーは、本ドキュメントに関してトヨタ自動車株式会社との間で締結される契約書に定める条件に基づき、本ドキュメントを利用する権利を有する。
[2] 以下の規則は、システム部署が定める管理ルールに従うこと。
[3] [ID　:　LKA-15CY-NA-FR-FR1314]ドライバーに違和感を持たせないように周辺移動車両（先行車、並走車、対向車）を考慮して目標ラインを定めるため、図　816のシーンにおいて、ドライバー操舵トルク有無をトリガとして目標ラインを調整する。
[4] ノイズに対するハードウェアの信頼性はTSで定められた基準を満足させる。","


","カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,デ,カラ [4]",,,
きめる,きめる,,,,間隔,,T,,,F,出力先アクチュエーターの応答特性を考慮し、リトライの間隔をきめる。,,"ニ,カラ",,,
擦る,する,,"レーンマーカー [1]
レーンマーカー [2]
レーンマーカー [3]",自動詞,"

","

",F,"

",,F,"[1] ・レーンマーカーの擦れは、ドライバーが気付ける程度の擦れまでカバーすること。
[2] ・レーンマーカーの擦れは、ドライバーが擦れに十分気付くレベルまでカバーすること。
[3] ・レーンマーカーの擦れは、ドライバーが擦れに十分気付くレベルまでカバーすること。","

","

",,,
合う,あう,,,自動詞,,,F,使用条件,,T,使用条件に合わないとき（詳細は、7.5章を参照）,,カラ,,,
生じる,しょうじる,,"横加速度 [1]
制御違和感 [2]
キャンセル [3]",,"

","

",,"挙動 [1]

",,ー,"[1] 装置の作動で発生する横加速度は、自動車の急激な挙動によって運転者が当惑することがないよう、日常的に遭遇する片勾配、横風などの外乱により生じる横加速度を越えないこと。
[2] 制御違和感が生じるレベルの認識パラメータ出力時に速やかにロストすること。
[3] 誤検出頻度が十分少ないと心証領域事象「意図せぬキャンセル」が生じるリスクあり。","

","ト,カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
検討する,けんとうする,,,,目標値,,T,,,ー,しかし、現実には、以下のような制約や条件等があり、それらを考慮し、最適な目標値を検討する必要がある。,,"ニ,カラ",,,
増加する,ぞうかする,,,,,,T,,,F,競合車キャッチアップ（車線中央維持機能のBMC）　　※詳細は、3章を参照現在、LKAシステムを販売しているOEMは少数だが、今後数年以内で増加していくと予想（下記参照）。,,"ニ,カラ",,,減少する
隠れる,かくれる,,,自動詞,,,F,　LKA-15CY-NA-FR-FR1506]先行車,,ー,[ID　:　LKA-15CY-NA-FR-FR1506]先行車に隠れてレーンマーカーが認識できないとき（認識が厳しく、成り行きで白線をロストしてしまい、少し車間をのばせば認識できるシーンのとき）、ACCに対して車間距離確保を要求する（図　8　19）,,カラ,,,
少なくする,すくなくする,,誤検出,,,,T,,,ー,ただし、未検出、誤検出は十分に少なくする。,,,,,多くする
導入する,どうにゅうする,,部品,,仕組み,,T,,,ー,仕向けなどでバリエーションのある部品は、部品のバリエーションを工場の検査ツールにC-BEST経由で知らせる仕組みを導入する。,,"ニ,デ,カラ",,,
点灯する,てんとうする,,"


",,"Lo＆Hiビーム＋フォグランプ [1]
Loビーム [2]
LKAインジケーターランプ [3]
※ハンドルマーク [4]","


",T,"


",,F,"[1] ・ランプ点灯…Loビームのみ～Lo＆Hiビーム＋フォグランプを点灯している。
[2] ・Loビームを点灯しなくとも安全な走行ができるほど照明が明るい（ランプOFF）。
[3] LKAインジケーターランプを点灯する。
[4] ※ハンドルマークを点灯する。","


","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]",,,消灯する
付ける,つける,,"

",,"暗,十分気 [1]
気,ドライバー [2]
組み [3]","

",T,"

",,ー,"[1] またランプOFF状態は、ドライバーが暗いと十分気付ける暗さまで操舵支援可能率が十分高いこと。
[2] ・レーンマーカーの擦れは、ドライバーが気付ける程度の擦れまでカバーすること。
[3] センサやスイッチなど組み付け精度が必要な部品は、組み付け時に所定の精度がでていることが作業者に分かる仕組みになっている。","

","ニ,ト,カラ [1]
ニ,カラ [2]
ニ,カラ [3]",「気づく」・「組み付ける」に分ける,,
保持する,ほじする,,"

（約3s [3]",,"フェールセーフ状態 [1]
エッジ情報 [2]
停止 [3]","

",T,"

",,ー,"[1] 異常時のフェールセーフ状態を確実に保持し、容易に危険な状態に戻らないようにする。
[2] 前方8.5m～50mのカメラ画像から抽出したエッジ情報を履歴として保持することで、対応する。
[3] （※9）　PCSの作動が解除されても、一定時間（約3s）はLKAの停止を保持する。","

","ニ,カラ [1]
ニ,カラ [2]
",,,
作成する,さくせいする,,"文書 [1]

",,"
ガイドライン [2]
修理書 [3]","

",T,"

車両 [3]",,ー,"[1] 本仕様書の前工程で作成される文書を示す。
[2] 用語集、ガイドライン、などを、今後作成したなら、ここに記載。
[3] 搭載方法については、車両ごとに修理書/手順書を作成する。","

","ニ,カラ [1]
ニ,カラ [2]
カラ [3]",,,
かすれる,かすれる,,内側線,自動詞,,,F,,,F,複合線判定を行い、複合線の場合は、内側線がかすれても内側線を取れるようにする。,,"ニ,カラ",,,
行える,おこなえる,,"




誰 [6]


",,"ON/OFF操作 [1]
ON/OFF操作 [2]
検査(調整) [3]
組み付け [4]
検査 [5]


故障診断 [8]
部品交換/ソフト書き換え [9]","







",T,"







",,ー,"[1] ドライバーがLKAシステムのON/OFF操作を行えるスイッチ。
[2] ハザードランプのON/OFF操作を行えるスイッチ。
[3] 検査(調整)が正しく行えなかったときには、すぐに分かる仕組みになっている。
[4] 組み付けが安全に行える。
[5] LKAシステムの検査が安全に行える。
[6] システムの修理書にて、修理方法を記載し、誰でも行えるようにする。
[7] サプライヤ/車両によらず、同じ修理方法で行える。
[8] 故障診断が安全に行える。
[9] 部品交換/ソフト書き換えが安全に行える。","







","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,デ,カラ [6]
ニ,デ,カラ [7]
ニ,カラ [8]
ニ,カラ [9]",,,
注意する,ちゅういする,,,,,,ー,,,ー,装置の機能限界を誤解されないよう注意すること。,,"ニ,ト,カラ",,,
低下する,ていかする,,"
始動不能)(3)走行性能 [2]",自動詞,"
","
",F,"
",,ー,"[1] 夜間ロービームで走行する場合等、作動原理的に性能低下する要因に対しては説明対応をとる。
[2] (1)安全に拘わる故障(FH、OR)(2)路上故障に至る故障(エンスト、始動不能)(3)走行性能が低下する故障(ドラビリ不良、変速不良)(4)お客様が不快を感じる故障(オーディオ作動不良、A/C作動不良)(5)法規制対象の故障(エミッション悪化)(6)故障部位の特定が困難、または不可能な故障(7)ユーザーが認識できるようなフェールセーフを実施するとき","
","ニ,カラ [1]
ニ,カラ [2]",,,向上する
解除する,かいじょする,,"作動 [1]
作動 [2]


故障 [5]
LKA [6]
LKA [7]
（異常状態 [8]
作動 [9]
（異常状態 [10]",,"

作動 [3]
作動 [4]





","








",T,"








",,F,"[1] (1)装置が故障により作動しない場合(2)装置の作動中，運転者の意思によらず、装置の作動が解除された場合
[2] （当面、車速65km/h以上を作動開始可能な条件とし、60km/h未満となった場合は装置の作動が解除されること。
[3] 運転者のハンドル操作がない場合に作動を解除すること。
[4] 直線とみなせる車線を走行している場合に限り作動する装置にあっては、ハンドル操作がない場合に作動を解除しなくともよい。
[5] 故障が解除されない限り、LKAを作動させてはいけない。
[6] ドライバーの意図によらずLKAが解除されたときに告知する必要があるが、ウインカー操作はドライバーの意図した操作のためブザー吹鳴しない。
[7] ドライバーの意図によらずLKAが解除されたときに告知する必要があるが、ステアリング操作はドライバーの意図した操作のためブザー吹鳴しない。
[8] [ID　:　LKA-15CY-NA-FR-FR1311]以下のようなLKA関連ハードの異常を検知したとき、LKAを停止する（異常状態が解除されるまで、停止し続ける）。
[9] （※9）　PCSの作動が解除されても、一定時間（約3s）はLKAの停止を保持する。
[10] [ID　:　LKA-15CY-NA-FR-FR1505]ARSに異常が発生したとき、LKAを停止する（異常状態が解除されるまで、停止し続ける）（LDA警報は作動する）。","








","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,カラ [7]
ニ,カラ [8]
ニ,カラ [9]
ニ,カラ [10]",,,
販売する,はんばいする,,"OEM [1]
OEM＞高速支援機能Lexus…3車種 [2]",,"LKAシステム [1]
LKAシステム [2]","
",T,"
",,ー,"[1] 競合車キャッチアップ（車線中央維持機能のBMC）　　※詳細は、3章を参照現在、LKAシステムを販売しているOEMは少数だが、今後数年以内で増加していくと予想（下記参照）。
[2] ＜現在LKAシステムを販売しているOEM＞高速支援機能Lexus…3車種、　Toyota…6車種、　Audi…6車種、　Honda…5車種、　VW…1車種、高速＋渋滞支援機能（全車速）Benz･･･2車種＜今後LKAシステムを販売予定のOEM＞高速支援機能Volvo…14年宣言（XC90）、　GM…先行開発中、　BMW…先行開発中渋滞支援機能Volvo…14年宣言（XC90）、　Ford…数年以内、　VW…先行開発中、　BMW…13年末","
","ニ,カラ [1]
ニ,カラ [2]",,,
曇る,くもる,,,,,,F,,,F,・天候によらず(晴れ、曇り、雨)性能を確保できること。,,"ニ,カラ",,晴れ，雨,
異なる,ことなる,,"より見え方 [1]
形状 [2]
形状 [3]
形状 [4]
形状 [5]
形状 [6]
形状 [7]
数値 [8]
（温度 [9]",自動詞,"







","







",F,"波長 [1]







",,F,"[1] ※草は光の波長により見え方が異なる（赤外光の場合、白色になるため路肩雪と同じような画像となる）
[2] 形状は各国で大きく異なる）Junction　without　Lane　Markers(Confirmed　the　existence　in　U.S.,　Spain,　and　Ireland.　Shape　is　very　different　in　each　country.)
[3] 形状は各国で大きく異なる）Merging　Point　with　no　Lane　Marker(Confirmed　existence　in　U.S.,　Spain,　and　Ireland.　Shape　is　very　different　in　each　country)
[4] 形状は各国で大きく異なる）Junction　with　Lane　Marker（There　are　lane　markers　between　main　and　entrance/exit　lanes　in　almost　all　countries　but　the　shapes　are　different　in　each　country.）
[5] 形状は各国で大きく異なる）Merging　Point　with　Lane　Marker（There　are　lane　markers　between　main　and　entrance/exit　lanes　in　almost　all　countries　but　the　shapes　are　different　in　each　country）
[6] 車線数増加（右左折レーンを含む）（各国で形状は大きく異なる）Lane　Increase　(R/L　Lanes)（Shapes　are　different　in　each　country.）
[7] 車線数減少（各国で形状は大きく異なる）Lane　Decrease　(R/L　Lanes)（Shapes　are　different　in　each　country.）
[8] 数値は、直線とカーブ、車速により異なる。
[9] [ID　:　LKA-15CY-NA-FR-FR1307]炎天下駐車によりレーンマーカー認識カメラが高温（温度はハードにより異なる）になり、一時的に使用できないとき、LKAを一時中断する。","







","カラ [1]
ニ,デ,カラ [2]
ニ,デ,カラ [3]
ニ,デ,カラ [4]
ニ,デ,カラ [5]
ニ,デ,カラ [6]
ニ,デ,カラ [7]
ニ [8]
ニ [9]",,,同じ
抱く,いだく,,"乗員 [1]
制御作動シーン [2]
制御作動シーン [3]",,"違和感 [1]
違和感 [2]
違和感 [3]","

",T,"乗り心地 [1]

",,ー,"[1] ・0.2[Hz]　程度と大きいと、ハンドルの動きに加えて乗り心地に乗員も違和感を抱く。
[2] 作動するとある程度強い違和感を抱く制御作動シーンにおいて、ごく弱いドライバーの操舵操作で制御キャンセルできること。
[3] 車線中央方向に制御を行うと、ある程度強い違和感を抱く制御作動シーンにおいて、ごく弱いドライバーの操舵操作で目標ラインを調整できること。","

","カラ [1]
ニ,カラ [2]
ニ,カラ [3]",,,
ロストする,ロストする,,"
",,"
白線 [2]","
",T,"
",,ー,"[1] 制御違和感が生じるレベルの認識パラメータ出力時に速やかにロストすること。
[2] [ID　:　LKA-15CY-NA-FR-FR1506]先行車に隠れてレーンマーカーが認識できないとき（認識が厳しく、成り行きで白線をロストしてしまい、少し車間をのばせば認識できるシーンのとき）、ACCに対して車間距離確保を要求する（図　8　19）","
","ニ [1]
ニ,デ [2]",,,
起きる,おきる,,"経年劣化 [1]
異常 [2]",自動詞,"
","
",F,"
部品・通信 [2]",,ー,"[1] EPSの製品バラツキ、経年劣化が起きても制御性能を確保できること。
[2] 自システムや自システムに関わる部品・通信に異常が起きた際、故障部位や原因を特定できるように以下の項目に対してダイアグ検出を行う。","
","ニ,カラ [1]
カラ [2]",,,
通知する,つうちする,,"LKAシステム [1]






",,"異常停止したこと [1]
ハンドル修正舵要求 [2]

旨 [4]

LKAにより操舵制御していること [6]
状態 [7]
","






",T,"ドライバー [1]
ドライバー [2]

ドライバー [4]
ドライバー [5]
　LKA-15CY-NA-FR-FR1503]ふらつき通知システム [6]
他制御 [7]
ドライバー [8]",,T,"[1] LKAシステムが異常停止したことをドライバーに通知する。
[2] ハンドル修正舵要求をドライバーに通知する。
[3] システム異常時は即座にドライバーに対して通知できること。
[4] 故障によりLKAが作動できない場合、その旨をドライバーに通知すること。
[5] アクチュエーターやコントローラが故障した場合、すぐにドライバーに通知し、LKAを非作動とすること。
[6] [ID　:　LKA-15CY-NA-FR-FR1503]ふらつき通知システムにLKAにより操舵制御していることを通知する。
[7] 自制御の演算結果が上下限範囲外となるときなど、他制御に制御不能の状態を通知する。
[8] ダイアグ検出をして表示器を用いてドライバーに通知するとき、ダイアグコードを記憶して診断ツールで読み出せる。","






","カラ [1]
カラ [2]

カラ [4]
カラ [5]
カラ [6]
カラ [7]
カラ [8]",,,
裁断する,さいだんする,,,,,,T,,,F,本書を破棄する場合は、シュレッダーを用いて裁断すること。,,"ニ,カラ",,,
完了する,かんりょうする,,アクセル操作,,,,T,,,F,アクセル操作が完了した場合、加速走行がある程度落ち着くであろう時間（約5s）が経過したとき、LKAを復帰する。,,"ニ,カラ",,,
派生する,はせいする,,文書,,,,ー,,,F,本書から派生した文書を下記に示す。,,カラ,,,
協議する,きょうぎする,,,,,,T,,,F,（学習機能の詳細は、別途JTと協議し決定すること。,,"ニ,ト,カラ",,,
なくなる,なくなる,,"レーンマーカー [1]
強制介入 [2]",自動詞,"
","
",F,"
",,ー,"[1] レーンマーカーがなくなった後、操舵支援不可とさせるタイミング（早さ）の目標性能を表　814に示す。
[2] （図　810）ドライバーによる強制介入がなくなった場合、LKAを復帰する。","
","ニ,カラ [1]
ニ,カラ [2]",,,
起動する,きどうする,,"条件 [1]
",,"
","
",T,"
",,ー,"[1] [ID　:　LKA-15CY-NA-FR-FR1201]＜LKAシステムの起動＞IG-ON後、LKA/LDAスイッチON操作したときに起動する（カスタマイズスイッチでLKAをONにしていることが条件）。
[2] LKA/LDAスイッチON後、約0.5　[s]以内に起動する。","
","ニ,カラ [1]
ニ,カラ [2]",,,終了する
至る,いたる,,故障(エンスト,自動詞,,,F,OR)(2)路上故障,,ー,(1)安全に拘わる故障(FH、OR)(2)路上故障に至る故障(エンスト、始動不能)(3)走行性能が低下する故障(ドラビリ不良、変速不良)(4)お客様が不快を感じる故障(オーディオ作動不良、A/C作動不良)(5)法規制対象の故障(エミッション悪化)(6)故障部位の特定が困難、または不可能な故障(7)ユーザーが認識できるようなフェールセーフを実施するとき,,,,,
搭載する,とうさいする,,"自動車 [1]
ECU [2]",,"確保ASV技術 [1]
","
",T,"
",,ー,"[1] 社会受容性の確保ASV技術を搭載した自動車は、他の自動車や歩行者などと一緒に走行するため、社会から正しく理解され、受け入れられるよう配慮する。
[2] ECUが搭載されている状態で、システムのソフトウェアがサービスツールで書き換えができる。","
","ニ,カラ [1]
ニ,カラ [2]",,,
併設する,へいせつする,,レーンマーカー,,,,T,,,ー,キャッツアイ（基本的にはレーンマーカーが併設される。,,"ニ,カラ",,,
小さくする,ちいさくする,,,,,,T,,,F,・車両の進行方向と、太陽の方向のなす角が小さすぎない・太陽の位置が低すぎない,,"ニ,カラ",,,大きくする
明らかだ,あきらかだ,,,,トレース関係,,F,,,ー,文書内の各項目に付与されているIDは、本文書内もしくは関連文書内の各要件とのトレース関係を明らかにするために用いる。,,"ニ,カラ",,,
記憶する,きおくする,,"
",,"ダイアグコード [1]
ドライバー操作 [2]","
",T,"
DDR [2]",,ー,"[1] ダイアグ検出をして表示器を用いてドライバーに通知するとき、ダイアグコードを記憶して診断ツールで読み出せる。
[2] システムの作動/不作動時の車両状態やドライバー操作をDDRに記憶する。","
","ニ [1]
カラ [2]",,,
停止する,ていしする,,"

作動 [3]
頻度 [4]

停止 [6]
　818 [7]
（※9 [8]
[ID　:　LKA-15CY-NA-FR-FR1504]VSC [9]
作動 [10]",,"
操舵制御 [2]
機能 [3]

LKA [5]
LKA [6]
LKA [7]
LKA [8]
LKA [9]
LKA [10]","








",T,"








",,F,"[1] LKAシステムが異常停止したことをドライバーに通知する。
[2] ドライバーの車線変更など車線維持が不要な状況では、操舵制御を停止すること。
[3] 装置に故障が発生した場合には、当該装置の作動が安全に停止する機能を有するものであること。
[4] システム停止する頻度が十分低いこと。
[5] [ID　:　LKA-15CY-NA-FR-FR1310]以下のように、走路環境が悪化しているとき、LKAを停止する。
[6] [ID　:　LKA-15CY-NA-FR-FR1311]以下のようなLKA関連ハードの異常を検知したとき、LKAを停止する（異常状態が解除されるまで、停止し続ける）。
[7] [ID　:　LKA-15CY-NA-FR-FR1501]ACC制御の制御停止（※8）にあわせて、LKAを停止する（LDA警報は作動する）（図　818）。
[8] [ID　:　LKA-15CY-NA-FR-FR1502]進路上の障害物（先行車など）に衝突する可能性が高いと判断し、PCS（注意喚起警報やブレーキなど）が作動したときは、LKAを停止する（※9）。
[9] [ID　:　LKA-15CY-NA-FR-FR1504]VSCがOFFのとき、LKAを停止する（LDA警報は作動する）。
[10] [ID　:　LKA-15CY-NA-FR-FR1505]ARSに異常が発生したとき、LKAを停止する（異常状態が解除されるまで、停止し続ける）（LDA警報は作動する）。","








","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,カラ [7]
ニ,カラ [8]
ニ,カラ [9]
ニ,カラ [10]",,,開始する
掲げる,かかげる,,"
",,"
","
",T,"
",,ー,"[1] 装置は、次に掲げる事項を運転者席に表示するものであること。
[2] 次に掲げる場合には、少なくとも表示により告知すること。","
","ニ,カラ [1]
ニ,カラ [2]",,,
キャンセルする,きゃんせるする,,"



ACC [5]",,"LKA [1]

LDA/LKA制御 [3]
LDA/LKA制御 [4]
","



",T,"



",,ー,"[1] 安全性において優先度の高いシステムが動作しているときは、LKAを速やかにキャンセルすること。
[2] 作動するとある程度強い違和感を抱く制御作動シーンにおいて、ごく弱いドライバーの操舵操作で制御キャンセルできること。
[3] [ID　:　LKA-15CY-NA-FR-FR1312]ドライバーによる衝突対象物の回避（安全マージン確保を目的とした操作　含）をLDA/LKAが妨げないようにするため、図　814のシーンにおいて、ごく弱いドライバーの操舵操作でLDA/LKA制御をキャンセルする（操舵キャンセルの閾値を引き下げる（※4））。
[4] [ID　:　LKA-15CY-NA-FR-FR1313]ドライバーがウインカー操作なしで、先行車を追い越し車線変更する場合でも、LDA/LKAを作動させないようにするため、図　815のシーンにおいて、ごく弱いドライバーの操舵操作でLDA/LKA制御をキャンセルする（操舵キャンセルの閾値を引き下げる）。
[5] Ex　：　ドライバーのブレーキ操作などによりACCがキャンセルされたとき。","



","ニ,カラ [1]
ニ,デ [2]
ニ,デ,カラ [3]
ニ,デ,カラ [4]
ニ,カラ [5]",,,
問う,とう,,"ハロゲン [1]
",,"
もの [2]","
",ー,"
",,ー,"[1] ランプ種（LED、HID、ハロゲン）は問わない。
[2] （※3）　低μ路の検出の方法については問わないものとする。","
","ニ [1]
ニ,カラ [2]",,,
離す,はなす,,,,手,,T,,,ー,[ID　:　LKA-15CY-NA-FR-FR1305]ドライバーがハンドルから手を離して運転しているとき、ハンドル保舵を促す注意喚起を行う（下記1の状況）。,,"ニ,カラ",,,
引く,ひく,,"レーンマーカー [1]
レーンマーカー [2]
区分線 [3]
区分線 [4]
レーンマーカー [5]
レーンマーカー [6]",,"




","




",T,"




",,ー,"[1] 短い破線（高速道路に引かれているレーンマーカーの規格で、長さが最も短い国はイギリスの2m。
[2] 設置間隔割合の長い破線（高速道路に引かれているレーンマーカーの規格で、最も割合の低い国はベルギー（2.5m／10m））Dashed　line　with　long　interval
[3] 区分線あり分岐（ほとんどの国では本線と退出路の間に区分線が引かれる。
[4] 区分線あり合流（ほとんどの国では本線と進入路の間に区分線が引かれる。
[5] レーンマーカーが引かれていない道路Road　with　Lane　Markers　not　‘Pulled’
[6] 各国で遭遇し得る、レーンマーカーが引かれていないあらゆる道路において誤操舵支援率が十分低いこと。","




","ニ,カラ [1]
ニ,カラ [2]
デ,カラ [3]
デ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]",,,
成立する,せいりつする,,"条件 [1]
走路条件 [2]
車速条件 [3]
検出条件 [4]",自動詞,"


","


",F,"


",,ー,"[1] [ID　:　LKA-15CY-NA-FR-FR1301]以下の全ての条件が成立したとき、車線中央付近を維持できるようなステアリング操舵制御を行う（図　88）。
[2] 走路条件が成立している（車線幅が一定範囲内、かつ　約50R以上）
[3] 車速条件が成立している（メーター車速＞約0　km/h（※１）、かつ　実車速≦約200　km/h）
[4] 検出条件が成立しにくい故障に関しては、検出条件(時間、感度)を上げた高感度ダイアグを実施する。","


","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
",,,
強くなる,つよくなる,,日差し,自動詞,,,F,,,F,ただし日差しが強すぎる場合を除く。,,"ニ,カラ",,,弱くなる
介入する,かいにゅうする,,,,,,F,,,ー,[ID　:　LKA-15CY-NA-FR-FR1303]ドライバーが意図的にステアリングを操作（約2.6Nm以上（※2））し、LKAによる操舵制御に対して強制介入しようとしているとき、LKAを一時中断する。,,カラ,,,
出力する,しゅつりょくする,,"メッセージ [1]
ステアリング作動要求 [2]
メッセージ [3]
値 [4]
値 [5]",,"



","



",T,"



",,ー,"[1] LKAシステムから出力されるメッセージを表示する。
[2] LKAシステムから出力されるステアリング作動要求を受け、ステアリングACTに操舵力を付加する。
[3] LKAシステムから出力されるメッセージを表示する。
[4] 大きな値が出力されるとFB制御出力によりハンドルが動く。
[5] 大きな値が出力されるとFB制御出力によりハンドルが動く。","



","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]",,,入力する
中断する,ちゅうだんする,,"[ID　:　LKA-15CY-NA-FR-FR1302]ドライバー [1]

[ID　:　LKA-15CY-NA-FR-FR1304]ドライバー [3]
　812 [4]



（EPS [8]
検査 [9]",,"LKA [1]
LKA [2]
LKA [3]
LKA [4]
LKA [5]
LKA [6]
LKA [7]
LKA [8]
","







",T,"







",,ー,"[1] [ID　:　LKA-15CY-NA-FR-FR1302]ドライバーがターンシグナルスイッチをONにしたときは、LKAを一時中断する。
[2] [ID　:　LKA-15CY-NA-FR-FR1303]ドライバーが意図的にステアリングを操作（約2.6Nm以上（※2））し、LKAによる操舵制御に対して強制介入しようとしているとき、LKAを一時中断する。
[3] [ID　:　LKA-15CY-NA-FR-FR1304]ドライバーが追い越しのためにアクセルペダルを強く踏み込んだ（変化量　約8％/16ｍｓ以上）ときは、LKAを一時中断する（図　811）。
[4] それでも手放し運転を続けた場合（下記2の状況）、LKAを一時中断する（図　812）。
[5] [ID　:　LKA-15CY-NA-FR-FR1306]レーンマーカーを誤認識しているときは、LKAを一時中断する。
[6] [ID　:　LKA-15CY-NA-FR-FR1307]炎天下駐車によりレーンマーカー認識カメラが高温（温度はハードにより異なる）になり、一時的に使用できないとき、LKAを一時中断する。
[7] [ID　:　LKA-15CY-NA-FR-FR1308]レーンマーカー認識カメラを物理的にモノ（土の付着や鳥のフンなど）がふさいでしまい、一時的に使用できない状況のとき、LKAを一時中断する。
[8] [ID　:　LKA-15CY-NA-FR-FR1309]電動パワーステアリング（EPS）が高温や電圧低下など、一時的に使用できない状況のとき、LKAを一時中断する（LDA警報は作動する）。
[9] 検査が失敗/中断したときには、工場の検査機/車室内の表示器/音による警報ですぐに作業者に知らせる。","







","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]
ニ,カラ [7]
ニ,カラ [8]
ニ [9]",,,継続する
用いる,もちいる,,"




",,"シュレッダー [1]
ID [2]
触覚 [3]
２つ [4]
赤画素 [5]
表示器 [6]","




",T,"




",,ー,"[1] 本書を破棄する場合は、シュレッダーを用いて裁断すること。
[2] 文書内の各項目に付与されているIDは、本文書内もしくは関連文書内の各要件とのトレース関係を明らかにするために用いる。
[3] LKAシステムは音，表示，触覚を用いた手段のうち少なくとも２つ以上を用いて、運転者が容易に理解できるものであること。
[4] LKAシステムは音，表示，触覚を用いた手段のうち少なくとも２つ以上を用いて、運転者が容易に理解できるものであること。
[5] 黄線判定を行い、黄線のコントラストが出るように4画素平均ではなく、赤画素のみを用いて、エッジ抽出を行う。
[6] ダイアグ検出をして表示器を用いてドライバーに通知するとき、ダイアグコードを記憶して診断ツールで読み出せる。","




","ニ,カラ [1]
ニ,カラ [2]
ニ,カラ [3]
ニ,カラ [4]
ニ,カラ [5]
ニ,カラ [6]",,,
なくす,なくす,,,,違和感,,T,,,ー,なお、ドライバーへの違和感を極力なくす（=操舵フィーリングを良くする）よう、以下の情報を基に常に最適な操舵制御を行うこと。,,"ニ,カラ",,,
少なくなる,すくなくなる,,エッジ点数,自動詞,,,ー,,,ー,検出したいレーンマーカーのエッジ点数が路面のエッジ点数に比べて相対的に少なくなる場合の目標性能を表　810に示す。,,"ニ,カラ",,,多くなる
入れる,いれる,,"
E-AS [2]
",,"
仮仕様 [2]
","

",T,"手 [1]

LDA [3]",,ー,"[1] 特別な情報が必要な場合、自由に手に入れられるようにすること。
[2] 開発終盤で可、E-ASは何らかの仮仕様を入れておく。
[3] LDAにも入れたい　（警告判断　LKA　と変わる可能性あり）。","

","カラ [1]
ニ,カラ [2]
カラ [3]",,,出す
カスタマイズする,カスタマイズする,,,,設定,,T,,,ー,お客様要望によりシステムの設定がカスタマイズできるようにする。,,"ニ,カラ",,,
直結する,ちょっけつする,,評価,,,,T,　商品力,,ー,BR-AS　：　　商品力に直結する評価（センターとレース、カーブの操舵、カメラ認識など）。,,カラ,,,
